{'code': '033110', 'comp_nm': '코너스톤네트웍스', 'target_nm': '금융비용', 'value': 0}
{'code': '033110', 'comp_nm': '코너스톤네트웍스', 'target_nm': '법인세비용', 'value': 0}
{'code': '033200', 'comp_nm': '모아텍', 'target_nm': '금융비용', 'value': 0}
{'code': '033430', 'comp_nm': '디에스티', 'target_nm': '법인세비용', 'value': 0}
{'code': '033920', 'comp_nm': '무학', 'target_nm': '금융비용', 'value': 0}
{'code': '033920', 'comp_nm': '무학', 'target_nm': '주당손익', 'value': 0}
{'code': '034230', 'comp_nm': '파라다이스', 'target_nm': '주당손익', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '금융수익', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '금융비용', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '주당손익', 'value': 0}
{'code': '036830', 'comp_nm': '솔브레인홀딩스', 'target_nm': '매출액', 'value': 0}
{'code': '036830', 'comp_nm': '솔브레인홀딩스', 'target_nm': '전기 매출액', 'value': 0}
{'code': '038540', 'comp_nm': '상상인', 'target_nm': '영업외비용', 'value': 0}
{'code': '038950', 'comp_nm': '파인디지털', 'target_nm': '금융비용', 'value': 0}
{'code': '039130', 'comp_nm': '하나투어', 'target_nm': '금융수익', 'value': 0}
{'code': '039130', 'comp_nm': '하나투어', 'target_nm': '영업외비용', 'value': 0}
{'code': '039310', 'comp_nm': '세중', 'target_nm': '주당손익', 'value': 0}
{'code': '039560', 'comp_nm': '다산네트웍스', 'target_nm': '주당손익', 'value': 0}
{'code': '039670', 'comp_nm': '한류타임즈', 'target_nm': '주당손익', 'value': 0}
{'code': '039670', 'comp_nm': '한류타임즈', 'target_nm': '법인세비용', 'value': 0}
{'code': '039740', 'comp_nm': '한국정보공학', 'target_nm': '법인세비용', 'value': 0}
{'code': '041440', 'comp_nm': '에버다임', 'target_nm': '주당손익', 'value': 0}
{'code': '041960', 'comp_nm': '코미팜', 'target_nm': '법인세비용', 'value': 0}
{'code': '042370', 'comp_nm': '비츠로테크', 'target_nm': '영업외비용', 'value': 0}
{'code': '042940', 'comp_nm': '상지카일룸', 'target_nm': '법인세비용', 'value': 0}
{'code': '043090', 'comp_nm': '큐브앤컴퍼니', 'target_nm': '주당손익', 'value': 0}
{'code': '043090', 'comp_nm': '큐브앤컴퍼니', 'target_nm': '법인세비용', 'value': 0}
{'code': '043100', 'comp_nm': '솔고바이오', 'target_nm': '법인세비용', 'value': 0}
{'code': '043260', 'comp_nm': '성호전자', 'target_nm': '주당손익', 'value': 0}
{'code': '044180', 'comp_nm': 'KD', 'target_nm': '금융수익', 'value': 0}
{'code': '044480', 'comp_nm': '경남바이오파마', 'target_nm': '법인세비용', 'value': 0}
{'code': '045890', 'comp_nm': 'GV', 'target_nm': '법인세비용', 'value': 0}
{'code': '046140', 'comp_nm': 'SBS콘텐츠허브', 'target_nm': '금융비용', 'value': 0}
{'code': '046140', 'comp_nm': 'SBS콘텐츠허브', 'target_nm': '영업외비용', 'value': 0}
{'code': '047560', 'comp_nm': '이스트소프트', 'target_nm': '주당손익', 'value': 0}
{'code': '049180', 'comp_nm': '셀루메드', 'target_nm': '주당손익', 'value': 0}
{'code': '049180', 'comp_nm': '셀루메드', 'target_nm': '법인세비용', 'value': 0}
{'code': '050090', 'comp_nm': '휘닉스소재', 'target_nm': '주당손익', 'value': 0}
{'code': '050110', 'comp_nm': '캠시스', 'target_nm': '주당손익', 'value': 0}
{'code': '050540', 'comp_nm': '한국코퍼레이션', 'target_nm': '주당손익', 'value': 0}
{'code': '050540', 'comp_nm': '한국코퍼레이션', 'target_nm': '법인세비용', 'value': 0}
{'code': '051910', 'comp_nm': 'LG화학', 'target_nm': '주당손익', 'value': 0}
{'code': '051980', 'comp_nm': '센트럴바이오', 'target_nm': '법인세비용', 'value': 0}
{'code': '052020', 'comp_nm': '에스티큐브', 'target_nm': '법인세비용', 'value': 0}
{'code': '052190', 'comp_nm': '이에스에이', 'target_nm': '법인세비용', 'value': 0}
{'code': '053160', 'comp_nm': '프리엠스', 'target_nm': '주당손익', 'value': 0}
{'code': '053280', 'comp_nm': '예스24', 'target_nm': '당기순이익', 'value': 0}
{'code': '053280', 'comp_nm': '예스24', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '053350', 'comp_nm': '이니텍', 'target_nm': '금융비용', 'value': 0}
{'code': '053350', 'comp_nm': '이니텍', 'target_nm': '영업외비용', 'value': 0}
{'code': '053590', 'comp_nm': '한국테크놀로지', 'target_nm': '법인세비용', 'value': 0}
{'code': '053620', 'comp_nm': '태양', 'target_nm': '주당손익', 'value': 0}
{'code': '054180', 'comp_nm': '메디콕스', 'target_nm': '법인세비용', 'value': 0}
{'code': '054920', 'comp_nm': '한컴위드', 'target_nm': '영업외비용', 'value': 0}
{'code': '056000', 'comp_nm': 'COWON', 'target_nm': '법인세비용', 'value': 0}
{'code': '057880', 'comp_nm': '필로시스헬스케어', 'target_nm': '주당손익', 'value': 0}
{'code': '058530', 'comp_nm': '슈펙스비앤피', 'target_nm': '법인세비용', 'value': 0}
{'code': '058630', 'comp_nm': '엠게임', 'target_nm': '금융수익', 'value': 0}
{'code': '058630', 'comp_nm': '엠게임', 'target_nm': '영업외비용', 'value': 0}
{'code': '058730', 'comp_nm': '다스코', 'target_nm': '영업외비용', 'value': 0}
{'code': '060230', 'comp_nm': '이그잭스', 'target_nm': '영업외비용', 'value': 0}
{'code': '060300', 'comp_nm': '레드로버', 'target_nm': '법인세비용', 'value': 0}
{'code': '062860', 'comp_nm': '티엘아이', 'target_nm': '금융비용', 'value': 0}
{'code': '064090', 'comp_nm': '에프앤리퍼블릭', 'target_nm': '법인세비용', 'value': 0}
{'code': '064240', 'comp_nm': '홈캐스트', 'target_nm': '법인세비용', 'value': 0}
{'code': '064260', 'comp_nm': '다날', 'target_nm': '주당손익', 'value': 0}
{'code': '065060', 'comp_nm': '지엔코', 'target_nm': '영업외비용', 'value': 0}
{'code': '065440', 'comp_nm': '이루온', 'target_nm': '영업외비용', 'value': 0}
{'code': '065500', 'comp_nm': '오리엔트정공', 'target_nm': '법인세비용', 'value': 0}
{'code': '066670', 'comp_nm': '디스플레이텍', 'target_nm': '영업외비용', 'value': 0}
{'code': '067280', 'comp_nm': '멀티캠퍼스', 'target_nm': '영업외손익', 'value': 0}
{'code': '067280', 'comp_nm': '멀티캠퍼스', 'target_nm': '영업외비용', 'value': 0}
{'code': '067280', 'comp_nm': '멀티캠퍼스', 'target_nm': '법인세비용', 'value': 0}
{'code': '067290', 'comp_nm': 'JW신약', 'target_nm': '영업외비용', 'value': 0}
{'code': '069330', 'comp_nm': '유아이디', 'target_nm': '영업외비용', 'value': 0}
{'code': '069410', 'comp_nm': '엔텔스', 'target_nm': '영업외비용', 'value': 0}
{'code': '069540', 'comp_nm': '라이트론', 'target_nm': '주당손익', 'value': 0}
{'code': '069620', 'comp_nm': '대웅제약', 'target_nm': '주당손익', 'value': 0}
{'code': '069620', 'comp_nm': '대웅제약', 'target_nm': '영업외비용', 'value': 0}
{'code': '071950', 'comp_nm': '코아스', 'target_nm': '영업외비용', 'value': 0}
{'code': '071970', 'comp_nm': 'STX중공업', 'target_nm': '법인세비용', 'value': 0}
{'code': '072470', 'comp_nm': '우리산업홀딩스', 'target_nm': '영업외비용', 'value': 0}
{'code': '072520', 'comp_nm': '제넨바이오', 'target_nm': '법인세비용', 'value': 0}
{'code': '072870', 'comp_nm': '메가스터디', 'target_nm': '주당손익', 'value': 0}
{'code': '073190', 'comp_nm': '듀오백', 'target_nm': '법인세비용', 'value': 0}
{'code': '073240', 'comp_nm': '금호타이어', 'target_nm': '영업외비용', 'value': 0}
{'code': '073490', 'comp_nm': '이노와이어리스', 'target_nm': '영업외비용', 'value': 0}
{'code': '074430', 'comp_nm': '아미노로직스', 'target_nm': '법인세비용', 'value': 0}
{'code': '074610', 'comp_nm': '이엔플러스', 'target_nm': '법인세비용', 'value': 0}
{'code': '075580', 'comp_nm': '세진중공업', 'target_nm': '주당손익', 'value': 0}
{'code': '075580', 'comp_nm': '세진중공업', 'target_nm': '영업외비용', 'value': 0}
{'code': '076080', 'comp_nm': '웰크론한텍', 'target_nm': '법인세비용', 'value': 0}
{'code': '078860', 'comp_nm': '아이오케이', 'target_nm': '주당손익', 'value': 0}
{'code': '078940', 'comp_nm': '코드네이처', 'target_nm': '법인세비용', 'value': 0}
