{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 30117622955500}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 532937604859}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 525405461995}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 174455181975}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 177896782203}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 88816412469}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 78708381136}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 26400509241}
{'code': '000180', 'comp_nm': '성창기업지주', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 707392786834}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 3211323920412}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 6736706809470}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 10690535919843}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 6708517368302}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 8367655725684}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 9327817394762}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 145507032654}
{'code': '000210', 'comp_nm': 'DL', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 13901859840255}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 305607787919}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 323839618330}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 493789205104}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 485904379574}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 340247063600}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 290572464384}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 96744017638}
{'code': '000230', 'comp_nm': '일동홀딩스', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 799396993023}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 3500498597215}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 3378572141054}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 291952509952}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 228514096501}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 202893862814}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 598850092546}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 103938736357}
{'code': '000240', 'comp_nm': '한국앤컴퍼니', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 3792451107167}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 257695965707}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 223196711700}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 59382900115}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 66954254388}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 23658314093}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 166527650544}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 25336491090}
{'code': '000250', 'comp_nm': '삼천당제약', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 317078865822}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 29891672000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 28978138000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 30598771000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 26366660000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 21097589000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 26093382000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 7093959000000}
{'code': '000270', 'comp_nm': '기아자동차', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 60490443000000}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 120991765101}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 160955216713}
